eyy,Load (kN) (N)
0.147982766,474.4185302
0.148795363,474.2442887
0.149751392,474.5996525
0.150780296,475.0083614
0.151740858,475.5253556
0.152533696,475.610558
0.153762217,475.6957604
0.15475,475.8780271
0.15561512,476.0871687
0.156723857,476.3369678
0.157993766,476.7049426
0.15859313,477.0188001
0.159634274,477.0867764
0.160725495,477.3611421
0.161554422,477.4690239
0.162744526,477.414842
0.163647775,477.8341523
0.164581109,478.4320997
0.165525517,478.334029
0.166705219,478.2690952
0.167678411,478.5086133
0.168611936,478.6795285
0.169788889,478.8504437
0.170932336,479.0043473
0.171701527,479.1519541
0.172818501,479.3010558
0.1740333,479.504431
0.175110415,479.6
0.176072075,479.6
0.177092977,479.9765097
0.178262828,480.4774035
0.178924952,481.0204009
0.180011312,480.4733901
0.181268758,480.27321
0.182022426,480.6256473
0.183076781,480.962986
0.184246408,481.2138758
0.185417367,481.2619072
0.185983867,481.3
0.187276594,481.3
0.188351218,481.3821694
0.18911433,481.5485806
0.19025276,481.7196422
0.19125782,481.7386817
0.191908649,481.6230393
0.193343778,481.7791549
0.194310035,481.9999348
0.195368626,482.2172519
0.196311604,482.3413885
0.197491041,482.4
0.198343262,482.4
0.199379643,482.4662132
0.20037948,482.6997973
0.201461041,482.8330171
0.202300168,482.8908383
0.203497999,482.9913424
0.204486416,483.0998829
0.205303359,483.1013118
0.206639433,483.2261333
0.207654898,483.3278062
0.208526806,483.3959216
0.2098856,483.3102072
0.210719365,483.2146958
0.211918219,483.2859103
0.212511219,483.3874428
0.213668063,483.5420572
0.214953766,483.7858761
0.216083094,484.0751497
0.217090096,484.2066342
0.218003906,484.3439767
0.219095648,484.56425
0.220120069,484.1976405
0.221435412,483.7173268
0.222429934,483.9495772
0.223479323,484.4060699
0.224477712,484.6
0.225401626,484.6
0.226518763,484.5630644
0.227856682,484.447422
0.228987969,484.6134359
0.229766348,484.6246832
0.230934115,484.2627177
0.232041814,484.2604073
0.233420789,485.2101363
0.234644458,485.0299043
0.235543039,484.6127805
0.236668736,484.7937632
0.238177799,484.9747459
0.239254509,485.1652014
0.240240253,484.8942184
0.241562343,484.8702294
0.242273928,484.9778921
0.243656435,485
0.244670104,484.9711405
0.245987387,484.602119
0.247139698,484.6182059
0.2482956,484.7816384
0.249726629,484.6703171
0.250656335,484.7207354
0.251664664,484.9535028
0.252760102,484.8370294
0.254170661,484.6668017
0.255183843,484.5653208
0.256056482,484.6355858
0.257505175,485.0160978
0.258373093,485.0267427
0.259648108,484.7104813
0.260942149,485.1204042
0.262006738,485.0548824
0.262964231,484.8747973
0.264269001,484.8791622
0.26555591,485.0088027
0.266479615,485.0906529
0.268031842,484.9458993
0.269323593,484.8
0.270089575,484.8
0.271468478,484.8
0.272443467,484.8
0.273680565,484.7433604
0.275043591,484.7
0.276255082,484.7
0.277207163,484.7
0.278620502,484.7726944
0.279837865,484.7662978
0.28087341,484.7155573
0.281997305,484.8314692
0.283236193,484.9639394
0.284694009,484.6394643
0.285975387,484.6417279
0.286823099,484.6892337
0.288268712,484.7
