Time (Sec.) (seconds),eyy,Load (kN) (N)
248.756903,0.162330639,501.6117744
249.7550356,0.163414292,501.9870413
250.7531683,0.164389643,501.9127202
251.751301,0.165115542,501.9965721
252.7494337,0.166151796,502.1130856
253.7475663,0.166967624,502.2343121
254.745699,0.167339052,502.3693774
255.7438317,0.168193643,502.3304029
256.7419644,0.169377498,502.2404
257.740097,0.169847639,502.3677125
258.7382297,0.17113378,502.6720213
259.7363624,0.171909208,502.9085108
260.734495,0.172401602,503.0957777
261.7326277,0.173653639,503.1
262.7307604,0.17449578,503.1
263.7288931,0.175354772,503.3917014
264.7270257,0.176075897,503.7728499
265.7251584,0.177021798,503.9
266.7232911,0.178027148,503.9
267.7214238,0.178786224,503.7096353
268.7195564,0.179731257,504.0033935
269.7176891,0.180771309,504.3199739
270.7158218,0.181626427,504.5298587
271.7139545,0.182621816,504.702274
272.7120871,0.183683466,504.81059
273.7102198,0.184429211,504.8842121
274.7083525,0.185280155,504.7937605
275.7064851,0.186451016,504.703309
276.7046178,0.187218092,505.1949503
277.7027505,0.187989084,505.3390188
278.7008832,0.188880872,505.2375309
279.6990158,0.190121124,505.3598922
280.6971485,0.190841687,505.6136117
281.6952812,0.192084563,505.7492357
282.6934139,0.193174995,505.8
283.6915465,0.194207672,505.8
284.6896792,0.194929693,505.7830038
285.6878119,0.195732309,505.6376093
286.6859446,0.196708708,505.6404784
287.6840772,0.197652393,505.6950808
288.6822099,0.198701877,505.8530003
289.6803426,0.199467779,506.0211494
290.6784752,0.200527498,506.1892984
291.6766079,0.201315239,506.3275915
292.6747406,0.20206554,506.4237673
293.6728733,0.203129768,506.4744854
294.6710059,0.204150565,506.4747708
295.6691386,0.204836574,506.4240011
296.6672713,0.206404284,506.4574219
297.665404,0.206946467,506.5663289
298.6635366,0.20801484,506.5138079
299.6616693,0.2090203,506.4079411
300.659802,0.209830288,506.4983516
301.6579347,0.210878989,506.5887622
302.6560673,0.21208175,506.5251655
303.6542,0.21283035,506.4397089
304.6523327,0.213880424,506.4866485
305.6504653,0.214623971,506.6485079
306.648598,0.215636738,506.8381457
307.6467307,0.217007814,506.9299777
308.6448634,0.218032344,506.5817918
309.642996,0.218766162,506.4408562
310.6411287,0.21963007,506.5263494
311.6392614,0.220681461,506.6112774
312.6373941,0.2217324,506.6926912
313.6355267,0.222465951,506.6133085
314.6336594,0.223615007,506.5180669
315.6317921,0.224266932,506.7930406
316.6299248,0.225446152,507.1546829
317.6280574,0.226640661,507.2626839
318.6261901,0.227374253,507.2003006
319.6243228,0.228728345,507.3275671
320.6224554,0.229734411,507.455752
321.6205881,0.230253742,507.2816173
322.6187208,0.231735268,506.9481124
323.6168535,0.232638463,506.6492246
324.6149861,0.233163988,506.4354536
325.6131188,0.234568627,506.8724097
326.6112515,0.235717615,507.1
327.6093842,0.236603254,507.1
328.6075168,0.237724977,507.0799541
329.6056495,0.238763531,506.9355066
330.6037822,0.239293117,506.8178252
331.6019149,0.241096592,507.1058035
332.6000475,0.24175793,507.2290676
333.5981802,0.242746975,507.0112536
334.5963129,0.244080946,506.7415854
335.5944455,0.244738018,506.4704034
336.5925782,0.245976693,506.3538445
337.5907109,0.247162422,506.2372856
338.5888436,0.248092209,506.4545663
339.5869762,0.249196501,506.7930495
340.5851089,0.250433714,506.7029247
341.5832416,0.251291996,506.6127999
342.5813743,0.252720555,506.5367989
343.5795069,0.253522433,506.350383
344.5776396,0.254718738,506.051413
345.5757723,0.256298975,505.9440765
346.573905,0.257341091,506.7825857
347.5720376,0.258311901,506.4660053
348.5701703,0.259695834,506.1494249
349.568303,0.260757695,506.0544208
350.5664356,0.262024058,506.0004093
351.5645683,0.262998688,506
352.562701,0.264108432,505.9964809
353.5608337,0.26539742,505.8346216
354.5589663,0.26640663,505.6817329
355.557099,0.267744291,505.5731812
356.5552317,0.268721532,505.4223791
357.5533644,0.269677887,505.1841613
358.551497,0.270924167,505
359.5496297,0.272143453,505
360.5477624,0.273383903,505
361.545895,0.274216792,504.7764225
362.5440277,0.275697674,504.5
363.5421604,0.276606693,504.5
364.5402931,0.278191785,504.4672841
365.5384257,0.27915821,504.3058611
366.5365584,0.280160892,504.2
367.5346911,0.281460217,504.2
368.5328238,0.282833116,504.1480372
369.5309564,0.283718868,504.0136086
370.5290891,0.285248809,503.7560048
371.5272218,0.286146938,503.4845272
372.5253545,0.287469227,503.4
373.5234871,0.28839056,503.4
374.5216198,0.289739703,503.4526926
375.5197525,0.291063824,503.3221387
376.5178851,0.292160605,502.8217075
377.5160178,0.293309338,502.4
378.5141505,0.294364643,502.4
